product,review,label_correct
P6000000203,data/part8\P6000000203\R3385046785\2207043488.jpg,Correct
P6000049205,data/part8\P6000049205\R3345496309\2184010314.jpg,Correct
P6000074992,data/part8\P6000074992\R3347463130\2185164510.jpg,Correct
P6000201462,data/part8\P6000201462\R3337206815\2179279150.jpg,Correct
P6000856687,data/part8\P6000856687\R4020463760\3011949316.jpg,Correct
P6000876455,data/part8\P6000876455\R3357335238\2190837517.jpg,Correct
P6000957288,data/part8\P6000957288\R3378724997\2203312961.jpg,Correct
P6001124623,data/part8\P6001124623\R3337705928\2179545092.jpg,Correct
P6001276515,data/part8\P6001276515\R4112685316\3066841358.jpg,Correct
P6001308689,data/part8\P6001308689\R3363064340\2194066866.jpg,Correct
P6001339955,data/part8\P6001339955\R4084645129\3049988907.jpg,Correct
P6001386945,data/part8\P6001386945\R3352591064\2188109713.jpg,Correct
P6001462866,data/part8\P6001462866\R3413835540\2224164221.jpg,Incorrect
P6001522665,data/part8\P6001522665\R3344610193\2183489163.jpg,Correct
P6001593192,data/part8\P6001593192\R3336738950\2179028423.jpg,Incorrect
P6001690684,data/part8\P6001690684\R4076707885\3045267354.jpg,Correct
P6001706518,data/part8\P6001706518\R3366794507\2196296152.jpg,Correct
P6001997925,data/part8\P6001997925\R4015381819\3008974940.jpg,Correct
P6002247886,data/part8\P6002247886\R3379606434\2203855340.jpg,Correct
P6002303920,data/part8\P6002303920\R4065828393\3038762069.jpg,Correct
P6002866797,data/part8\P6002866797\R3413499241\2223957875.jpg,Correct
P6003126478,data/part8\P6003126478\R3394750872\2212815788.jpg,Correct
P6003242450,data/part8\P6003242450\R3356354483\2190285419.jpg,Correct
P6003296315,data/part8\P6003296315\R4051939207\3030589039.jpg,Correct
P6003535028,data/part8\P6003535028\R3337621496\2179500949.jpg,Correct
P6003539386,data/part8\P6003539386\R3344477062\2183421000.jpg,Incorrect
P6003548139,data/part8\P6003548139\R3373169639\2200013472.jpg,Correct
P6003557121,data/part8\P6003557121\R3374663743\2200937953.jpg,Correct
P6003677766,data/part8\P6003677766\R3382764362\2205703348.jpg,Correct
P6003678139,data/part8\P6003678139\R4048320786\3028450588.jpg,Correct
P6003736949,data/part8\P6003736949\R3373280213\2200087624.jpg,Correct
P6003808961,data/part8\P6003808961\R3341944045\2181985425.jpg,Correct
P6004053803,data/part8\P6004053803\R3365336025\2195439977.jpg,Correct
P6004242386,data/part8\P6004242386\R3404169829\2218410595.jpg,Correct
P6004547705,data/part8\P6004547705\R3340164508\2180958988.jpg,Correct
P6004675750,data/part8\P6004675750\R3342416767\2182271936.jpg,Correct
P6004911232,data/part8\P6004911232\R3337867449\2179616723.jpg,Correct
P6005310364,data/part8\P6005310364\R3345248533\2183881298.jpg,Correct
P6005342308,data/part8\P6005342308\R4043264956\3025461260.jpg,Correct
P6005799222,data/part8\P6005799222\R3338541182\2179988061.jpg,Correct
P6006289323,data/part8\P6006289323\R3339691431\2180686179.jpg,Correct
P6006659373,data/part8\P6006659373\R3394621045\2212730768.jpg,Correct
P6006683994,data/part8\P6006683994\R3343355526\2182771020.jpg,Correct
P6006844947,data/part8\P6006844947\R3336899982\2179115157.jpg,Correct
P6006879867,data/part8\P6006879867\R3383807352\2206329394.jpg,Correct
P6006992882,data/part8\P6006992882\R3349438287\2186245407.jpg,Correct
P6007007075,data/part8\P6007007075\R3342163153\2182124963.jpg,Correct
P6007154279,data/part8\P6007154279\R3339576503\2180613999.jpg,Correct
P6007209009,data/part8\P6007209009\R3337581780\2179479255.jpg,Correct
P6007278322,data/part8\P6007278322\R3337449861\2179406124.jpg,Correct
P6007298498,data/part8\P6007298498\R3368948933\2197545598.jpg,Correct
P6007303380,data/part8\P6007303380\R3421723603\2228880402.jpg,Correct
P6007447621,data/part8\P6007447621\R4003513352\3002066006.jpg,Correct
P6007521555,data/part8\P6007521555\R4110467286\3065505490.jpg,Correct
P6008305315,data/part8\P6008305315\R3350952866\2187145736.jpg,Correct
P6008378169,data/part8\P6008378169\R3354238219\2188999065.jpg,Correct
P6008725676,data/part8\P6008725676\R3339877477\2180804750.jpg,Correct
P6008785329,data/part8\P6008785329\R3361998769\2193440117.jpg,Correct
P6008788333,data/part8\P6008788333\R3338845877\2180176455.jpg,Correct
P6008931812,data/part8\P6008931812\R3350105496\2186641159.jpg,Correct
P6008953310,data/part8\P6008953310\R4035521703\3020876922.jpg,Correct
P6008956971,data/part8\P6008956971\R3364968212\2195209820.jpg,Correct
P6008961262,data/part8\P6008961262\R3343256057\2182716462.jpg,Correct
P6008979819,data/part8\P6008979819\R3342307929\2182212932.jpg,Correct
P6009006443,data/part8\P6009006443\R3383225912\2205965235.jpg,Correct
P6009122848,data/part8\P6009122848\R3340725765\2181298361.jpg,Correct
P6009123075,data/part8\P6009123075\R3346953910\2184864760.jpg,Correct
P6009149831,data/part8\P6009149831\R3338260370\2179840684.jpg,Correct
P6009674464,data/part8\P6009674464\R3339920587\2180831451.jpg,Correct
P6009750506,data/part8\P6009750506\R3383236810\2205972613.jpg,Correct
P6009759589,data/part8\P6009759589\R3403650676\2218069658.jpg,Incorrect
P6009802760,data/part8\P6009802760\R3343944958\2183083751.jpg,Incorrect
P6009905823,data/part8\P6009905823\R3383889165\2206378225.jpg,Correct
P6009937633,data/part8\P6009937633\R3345927675\2184276588.jpg,Correct
P6009968760,data/part8\P6009968760\R3382877380\2205757753.jpg,Correct
P6010045587,data/part8\P6010045587\R3337916794\2179642890.jpg,Correct
P6010250624,data/part8\P6010250624\R3349390901\2186213940.jpg,Correct
P6010386393,data/part8\P6010386393\R3381907470\2205239058.jpg,Correct
P6010516300,data/part8\P6010516300\R3376257475\2201898430.jpg,Correct
P6010870949,data/part8\P6010870949\R4114525286\3067966201.jpg,Correct
P6010872471,data/part8\P6010872471\R3355863801\2189984022.jpg,Correct
P6011018387,data/part8\P6011018387\R3358960523\2191677746.jpg,Correct
P6011521067,data/part8\P6011521067\R3340105886\2180930980.jpg,Correct
P6011759291,data/part8\P6011759291\R3352691372\2188170621.jpg,Correct
P6011810475,data/part8\P6011810475\R3349435196\2186243450.jpg,Correct
P6011823366,data/part8\P6011823366\R3412557100\2223446667.jpg,Correct
P6011865607,data/part8\P6011865607\R3343909592\2183062567.jpg,Correct
P6011876412,data/part8\P6011876412\R3337610846\2179495023.jpg,Correct
P6012104123,data/part8\P6012104123\R4053766368\3031671511.jpg,Correct
P6012132663,data/part8\P6012132663\R3365282516\2195405239.jpg,Correct
P6012160620,data/part8\P6012160620\R3397158679\2214267332.jpg,Correct
P6012446549,data/part8\P6012446549\R3368132297\2197042814.jpg,Correct
P6012450091,data/part8\P6012450091\R3397205115\2214296049.jpg,Correct
P6012474012,data/part8\P6012474012\R3348368837\2185649334.jpg,Correct
P6012496692,data/part8\P6012496692\R4051563641\3030346378.jpg,Correct
P6012571726,data/part8\P6012571726\R3401095415\2216594117.jpg,Correct
P6012650203,data/part8\P6012650203\R4107713904\3063875074.jpg,Correct
P6012872674,data/part8\P6012872674\R3344636184\2183503764.jpg,Correct
P6012976534,data/part8\P6012976534\R3353851813\2188798106.jpg,Correct
P6013201112,data/part8\P6013201112\R3337188470\2179270946.jpg,Correct
P6013245527,data/part8\P6013245527\R4110884465\3065743415.jpg,Correct
P6013267757,data/part8\P6013267757\R3376702435\2202173006.jpg,Correct
P6013516523,data/part8\P6013516523\R3363452621\2194307812.jpg,Correct
P6013817881,data/part8\P6013817881\R3354111959\2188933463.jpg,Correct
P6014012101,data/part8\P6014012101\R3339086622\2180334807.jpg,Correct
P6014132330,data/part8\P6014132330\R3413580593\2224002453.jpg,Correct
P6014174199,data/part8\P6014174199\R3398687788\2215116309.jpg,Correct
P6014225949,data/part8\P6014225949\R3383509475\2206152850.jpg,Correct
P6014592568,data/part8\P6014592568\R3389460737\2209676520.jpg,Correct
P6014645753,data/part8\P6014645753\R4018015018\3010568876.jpg,Correct
P6014673662,data/part8\P6014673662\R3361327357\2193075079.jpg,Correct
P6014828752,data/part8\P6014828752\R4015585872\3009090324.jpg,Correct
P6014845351,data/part8\P6014845351\R3397265616\2214329496.jpg,Correct
P6014939095,data/part8\P6014939095\R3395482655\2213257295.jpg,Correct
P6015173763,data/part8\P6015173763\R3423730112\2230025661.jpg,Correct
P6015190248,data/part8\P6015190248\R3343730501\2182969213.jpg,Incorrect
P6015195539,data/part8\P6015195539\R3387559427\2208520445.jpg,Correct
P6015392830,data/part8\P6015392830\R3352655246\2188148966.jpg,Correct
P6015452593,data/part8\P6015452593\R3410163362\2221994153.jpg,Correct
P6015456150,data/part8\P6015456150\R3345900670\2184259343.jpg,Correct
P6015463152,data/part8\P6015463152\R3341478110\2181720606.jpg,Correct
P6015536994,data/part8\P6015536994\R3341234009\2181571590.jpg,Correct
P6015620236,data/part8\P6015620236\R4052589943\3030981395.jpg,Correct
P6016021261,data/part8\P6016021261\R3341491175\2181728830.jpg,Correct
P6016532361,data/part8\P6016532361\R3359841219\2192199711.jpg,Correct
P6017971253,data/part8\P6017971253\R4115266612\3068376970.jpg,Correct
P6018181642,data/part8\P6018181642\R3372303212\2199520239.jpg,Correct
P6018393175,data/part8\P6018393175\R3344699257\2183540348.jpg,Correct
P6018457061,data/part8\P6018457061\R3360926129\2192860609.jpg,Correct
P6018652939,data/part8\P6018652939\R3373856911\2200440009.jpg,Correct
P6018662857,data/part8\P6018662857\R3355594054\2189828504.jpg,Correct
P6019019622,data/part8\P6019019622\R3372492050\2199624477.jpg,Correct
P6019285399,data/part8\P6019285399\R3337822687\2179595277.jpg,Correct
P6019500633,data/part8\P6019500633\R4031016516\3018220845.jpg,Correct
P6020498845,data/part8\P6020498845\R3366391736\2196064680.jpg,Correct
P6020826498,data/part8\P6020826498\R3392747411\2211607999.jpg,Correct
P6021304558,data/part8\P6021304558\R3369015476\2197589085.jpg,Correct
P6021535405,data/part8\P6021535405\R3350317588\2186777595.jpg,Correct
P6021609505,data/part8\P6021609505\R4039544510\3023291784.jpg,Correct
P6021666586,data/part8\P6021666586\R3366110555\2195907203.jpg,Correct
P6021737176,data/part8\P6021737176\R3350601278\2186937524.jpg,Correct
P6021742073,data/part8\P6021742073\R4088448563\3052290384.jpg,Correct
P6021845310,data/part8\P6021845310\R3392187263\2211298391.jpg,Correct
P6021846007,data/part8\P6021846007\R4117589243\3069775604.jpg,Correct
P6021922378,data/part8\P6021922378\R3368079994\2197007253.jpg,Correct
P6021956988,data/part8\P6021956988\R4111403813\3066056978.jpg,Correct
P6021959903,data/part8\P6021959903\R3340325119\2181049102.jpg,Correct
P6021961369,data/part8\P6021961369\R4017058666\3009978401.jpg,Correct
P6021996435,data/part8\P6021996435\R4101413020\3060044917.jpg,Correct
P6022231979,data/part8\P6022231979\R4033617781\3019797753.jpg,Correct
P6022350002,data/part8\P6022350002\R3373044686\2199933555.jpg,Correct
P6022353742,data/part8\P6022353742\R3400350227\2216151388.jpg,Correct
P6022442878,data/part8\P6022442878\R4028582581\3016813943.jpg,Correct
P6022476035,data/part8\P6022476035\R3353642942\2188678497.jpg,Correct
P6022527794,data/part8\P6022527794\R3412602798\2223474704.jpg,Correct
P6022594443,data/part8\P6022594443\R3428407880\2232788689.jpg,Correct
P6022858025,data/part8\P6022858025\R4013271473\3007787062.jpg,Correct
P6022892352,data/part8\P6022892352\R3391417543\2210837130.jpg,Correct
P6023035280,data/part8\P6023035280\R3340968798\2181431569.jpg,Correct
P6023041020,data/part8\P6023041020\R4032772137\3019311614.jpg,Correct
P6023144701,data/part8\P6023144701\R3337905180\2179636563.jpg,Correct
P6023168757,data/part8\P6023168757\R3336899485\2179114860.jpg,Correct
P6023261894,data/part8\P6023261894\R4001694310\3000968787.jpg,Correct
P6023284150,data/part8\P6023284150\R3348041621\2185483942.jpg,Correct
P6023308742,data/part8\P6023308742\R3354445794\2189125521.jpg,Correct
P6023686644,data/part8\P6023686644\R3397088179\2214224241.jpg,Correct
P6023761848,data/part8\P6023761848\R4104063660\3061684395.jpg,Correct
P6024273645,data/part8\P6024273645\R3357228794\2190779654.jpg,Correct
P6024336497,data/part8\P6024336497\R3393041739\2211770185.jpg,Correct
P6024354563,data/part8\P6024354563\R3341521762\2181748091.jpg,Correct
P6024383374,data/part8\P6024383374\R3362344436\2193617378.jpg,Correct
P6024499471,data/part8\P6024499471\R4012316564\3007225635.jpg,Correct
P6024527399,data/part8\P6024527399\R3352332515\2187945597.jpg,Correct
P6024536881,data/part8\P6024536881\R3382783169\2205713305.jpg,Correct
P6024562666,data/part8\P6024562666\R3355219795\2189596111.jpg,Incorrect
P6024601374,data/part8\P6024601374\R3387026325\2208243598.jpg,Correct
P6024610297,data/part8\P6024610297\R3337666651\2179525152.jpg,Correct
