product,review,label_correct
P6000009896,data/part7\P6000009896\R3339446657\2180535431.jpg,Correct
P6000312446,data/part7\P6000312446\R4038493025\3022671960.jpg,Correct
P6000464896,data/part7\P6000464896\R3399263247\2215490497.jpg,Correct
P6001063734,data/part7\P6001063734\R3372581541\2199676730.jpg,Incorrect
P6001237236,data/part7\P6001237236\R4022358485\3013108757.jpg,Correct
P6001421106,data/part7\P6001421106\R4015638890\3009122314.jpg,Correct
P6002148387,data/part7\P6002148387\R3409908330\2221853732.jpg,Correct
P6002388879,data/part7\P6002388879\R3351072643\2187223364.jpg,Correct
P6002915023,data/part7\P6002915023\R3345083145\2183779102.jpg,Correct
P6002930565,data/part7\P6002930565\R4115708639\3068636235.jpg,Correct
P6003024520,data/part7\P6003024520\R3342395591\2182261529.jpg,Correct
P6003197992,data/part7\P6003197992\R4090947998\3053802768.jpg,Correct
P6003239625,data/part7\P6003239625\R4117379336\3069648684.jpg,Correct
P6003482301,data/part7\P6003482301\R3348756135\2185858229.jpg,Correct
P6003611823,data/part7\P6003611823\R3345461031\2183990947.jpg,Correct
P6003612752,data/part7\P6003612752\R3336639919\2178978735.jpg,Correct
P6003653656,data/part7\P6003653656\R3359340505\2191887120.jpg,Correct
P6003788931,data/part7\P6003788931\R3346878882\2184824931.jpg,Correct
P6003827315,data/part7\P6003827315\R3343522258\2182864943.jpg,Correct
P6003839552,data/part7\P6003839552\R3430827273\2234254175.jpg,Correct
P6004008223,data/part7\P6004008223\R3344354690\2183346218.jpg,Correct
P6004013840,data/part7\P6004013840\R3342435137\2182280640.jpg,Correct
P6004116227,data/part7\P6004116227\R3343286928\2182733389.jpg,Correct
P6004226488,data/part7\P6004226488\R3353401435\2188557032.jpg,Correct
P6004516104,data/part7\P6004516104\R3382526254\2205564830.jpg,Correct
P6004580646,data/part7\P6004580646\R3336734165\2179026090.jpg,Correct
P6004678238,data/part7\P6004678238\R3393523691\2212040700.jpg,Correct
P6004705078,data/part7\P6004705078\R3364835502\2195139551.jpg,Correct
P6004722810,data/part7\P6004722810\R3370284893\2198338219.jpg,Correct
P6005070965,data/part7\P6005070965\R4048542229\3028592613.jpg,Correct
P6005275213,data/part7\P6005275213\R3342654502\2182400543.jpg,Correct
P6005324256,data/part7\P6005324256\R3393583135\2212078041.jpg,Correct
P6005525480,data/part7\P6005525480\R3380987808\2204696750.jpg,Correct
P6005763120,data/part7\P6005763120\R3421416799\2228703414.jpg,Correct
P6005900369,data/part7\P6005900369\R3395907763\2213504338.jpg,Correct
